NAME,OBSID,RA,DEC,START_TIME,PROCESSING_DATE,XRT_EXPOSURE,UVOT_EXPOSURE,BAT_EXPOSURE,ARCHIVE_DATE,AF_INSAA,AF_INSLEW,AF_ONSOURCE,AF_TOTAL,ATT_FLAG,BAT_EXPO_EV,BAT_EXPO_MT,BAT_EXPO_PL,BAT_EXPO_RT,BAT_EXPO_SV,BAT_NO_MASKTAG,BII,CYCLE,GRB_FLAG,LII,NUM_PROCESSED,OBS_SEGMENT,ORIG_OBS_SEGMENT,ORIG_OBSID,ORIG_TARGET_ID,PI,PRNB,PROCESSING_VERSION,ROLL_ANGLE,SAA_FRACTION,SOFTWARE_VERSION,STOP_TIME,TARGET_ID,TDRSS_FLAG,UVOT_EXPO_BB,UVOT_EXPO_BL,UVOT_EXPO_GU,UVOT_EXPO_GV,UVOT_EXPO_M2,UVOT_EXPO_MG,UVOT_EXPO_UU,UVOT_EXPO_VV,UVOT_EXPO_W1,UVOT_EXPO_W2,UVOT_EXPO_WH,XRT_EXPO_IM,XRT_EXPO_LR,XRT_EXPO_PC,XRT_EXPO_PU,XRT_EXPO_WT,TRIG_TIME_MJD,mjd_utc
GRB061021                                                                       ,00234905002,145.12625,-21.93729,54033.1229166667,           57180,16069.473,15743.335,16289.0,54044,0.0,1559.38477,16089.99369,17649.37846,112 ,0.0,53064.0,0.0,17705.6,16289.0,6,22.63738,0,Y,254.88121,17,2,2,00234905002,234905,Swift                       ,1,3.16.09                                                                         ,100.57981,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54033.9432291667,234905,N,1399.151,0.0,0.0,0.0,3300.034,0.0,1399.062,1221.984,2804.976,5618.128,0.0,0.0,0.0,16009.775,0.0,59.698,54033.1229166667,54033.1229166667
GRB061122                                                                       ,00020044007,303.79176,15.50998,54068.0229166667,           57178,16068.185,16080.471,16335.0,54079,0.0,3444.40228,16104.98993,19549.3922,112 ,0.0,58536.0,0.0,19604.8,16335.0,3,-10.62901,0,Y,56.62628,16,7,7,00020044007,20044,Swift                       ,1,3.16.09                                                                         ,229.59448,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54068.9978703704,20044,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16080.471,0.0,0.0,0.0,16006.644,0.0,61.541,54068.0229166667,54068.0229166667
GRB051001                                                                       ,00157870005,350.90749,-31.53612,53650.0784953704,           57043,16063.266,16086.626,16550.0,53661,534.53136,2148.61107,16544.98799,18693.59906,112 ,0.0,120.0,18573.0,18465.6,16550.0,3,-70.39799,0,Y,14.68701,17,5,5,00157870005,157870,Swift                       ,1,3.16.07                                                                         ,201.98609,0.02271,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53650.8435763889,157870,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16086.626,0.0,0.0,0.0,0.0,0.0,16029.34,0.0,33.926,53650.0784953704,53650.0784953704
GRB070107                                                                       ,00255029005,159.40059,-53.24283,54112.0604166667,           57195,16062.396,16001.983,16500.0,54123,469.76324,1730.15956,16279.9893,18010.14886,112 ,0.0,54064.0,0.0,18060.8,16500.0,5,4.53145,0,Y,283.6043,17,5,5,00255029005,255029,Swift                       ,1,3.16.09                                                                         ,143.76651,0.00763,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54113.0309490741,255029,N,0.0,0.0,0.0,0.0,0.0,0.0,16001.983,0.0,0.0,0.0,0.0,0.0,0.0,15933.77,0.0,128.626,54112.0604166667,54112.0604166667
GRB060904a                                                                      ,00227996011,237.78392,44.93099,53992.0361226852,           57121,16061.873,16016.281,16705.0,54003,887.23568,2144.36704,16354.99073,18499.35776,112 ,0.0,37088.0,0.0,18540.8,16705.0,5,50.18872,0,Y,71.59438,19,11,11,00227996011,227996,Swift                       ,1,3.16.08                                                                         ,261.74966,0.00716,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,53993.0387037037,227996,N,0.0,0.0,0.0,0.0,16016.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13686.836,0.0,2375.037,53992.0361226852,53992.0361226852
GRB090308                                                                       ,00345777004,183.50083,-48.84529,     54901.28125,           57384,16027.492,16017.418,13803.0,54912,1617.07206,1195.38751,16064.99317,17260.38068,112 ,0.0,42296.0,0.0,14598.4,13803.0,10,13.56652,0,Y,296.61159,14,4,4,00345777004,345777,Swift                       ,1,3.17.01                                                                         ,172.81996,0.08808,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_0                    ,54901.9885300926,345777,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16017.418,0.0,0.0,0.0,16027.492,0.0,0.0,54901.28125,54901.28125
GRB061006                                                                       ,00232585000,111.16155,-79.21,54014.6874074074,           57178,16025.062,16079.258,22348.047,54025,9374.88958,1439.59927,25035.03123,26474.6305,112 ,1202.047,80968.0,0.0,27328.0,21146.0,3,-25.07879,0,Y,291.12994,19,0,0,00232585000,232585,Swift                       ,1,3.16.09                                                                         ,82.1607,0.3529,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   , 54015.443599537,232585,Y,801.243,0.0,0.0,0.0,4417.615,0.0,2575.117,3064.438,2982.199,2238.646,0.0,5.078,0.0,15834.242,0.0,185.742,54014.6874074074,54014.6874074074
GRB080129                                                                       ,00301981003,105.27095,-7.86108,54496.2451388889,           57277,16012.179,16027.161,16336.0,54507,5624.99746,1252.40107,16159.99217,17412.39324,112 ,0.0,50592.0,17422.0,17451.2,16336.0,3,-1.44806,0,Y,221.02465,20,3,3,00301981003,301981,Swift                       ,1,3.16.09                                                                         ,234.6423,0.32395,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54497.0310416667,301981,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16027.161,0.0,0.0,0.0,0.0,0.0,16012.179,0.0,0.0,54496.2451388889,54496.2451388889
GRB080319b                                                                      ,00306757006,217.94781,36.34852,54549.0020949074,           57280,16008.151,14662.749,16433.0,54560,6397.39798,2035.59485,16074.97479,18110.56964,112 ,0.0,44632.0,20025.0,18188.8,16433.0,5,66.84601,0,Y,62.64255,26,6,6,00306757006,306757,Swift                       ,1,3.16.09                                                                         ,34.6105,0.36143,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54549.9997685185,306757,N,1290.951,0.0,0.0,0.0,3135.5,0.0,1291.138,1249.246,2587.948,5107.966,0.0,0.0,0.0,16008.151,0.0,0.0,54549.0020949074,54549.0020949074
GRB081127                                                                       ,00335715000,332.09031,6.86798,54797.2841550926,           57352,16006.98,15654.047,21103.717,54808,0.0,1351.61183,16044.98365,17396.59548,112 ,1680.717,54112.0,0.0,18363.2,19423.0,6,-37.92761,0,Y,67.6536,13,0,0,00335715000,335715,Swift                       ,1,3.17.01                                                                         ,248.85863,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_0                    ,54797.7101273148,335715,Y,1259.033,0.0,49.781,0.0,2936.257,0.0,2852.385,2036.875,3096.301,2396.703,1026.712,2.589,0.0,15895.581,0.0,108.81,54797.2841550926,54797.2841550926
GRB050315                                                                       ,00111063000,306.43532,-42.60879,53444.8623611111,           56937,15994.197,19322.505,25112.037,53455,5340.0,1253.80049,25079.99335,26333.79384,112 ,602.037,70096.0,0.0,27275.2,24510.0,3,-34.79777,0,Y,358.16331,27,0,0,00111063000,111063,Swift                       ,1,3.16.06                                                                         ,61.18621,0.21292,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53445.5467013889,111063,Y,2690.389,0.0,0.0,0.0,3018.067,0.0,2931.248,3398.084,3786.763,3497.954,0.0,0.0,22.964,14271.482,4.117,1695.634,53444.8623611111,53444.8623611111
GRB060607a                                                                      ,00213823001,329.76929,-22.48717,53894.0187615741,           57087,15974.865,16066.855,16451.0,53905,0.0,1465.86981,16259.12364,17724.99346,112 ,0.0,35504.0,17728.0,17761.6,16451.0,3,-50.79822,0,Y,29.96422,25,1,1,00213823001,213823,Swift                       ,1,3.16.07                                                                         ,80.86956,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53894.9687152778,213823,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16066.855,0.0,0.0,0.0,0.0,0.0,15926.256,0.0,48.609,53894.0187615741,53894.0187615741
GRB080129                                                                       ,00301981004,105.24443,-7.86994,54497.0458449074,           57277,15968.956,15767.38,16236.0,54508,6887.79512,2286.20404,16024.98738,18311.19142,112 ,0.0,54152.0,18104.0,18371.2,16236.0,8,-1.47548,0,Y,221.02053,29,4,4,00301981004,301981,Swift                       ,1,3.16.09                                                                         ,216.11424,0.38627,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54499.0286921296,301981,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15767.38,0.0,0.0,0.0,0.0,0.0,15968.956,0.0,0.0,54497.0458449074,54497.0458449074
GRB060123                                                                       ,00020028004,179.71411,45.51808,53762.0298611111,           57059,15968.6,15849.057,17209.0,53773,0.0,1028.33092,16054.99402,17083.32494,112 ,0.0,17344.0,0.0,17121.6,17209.0,7,68.84243,0,Y,149.13135,25,4,4,00020028004,20028,Swift                       ,1,3.16.07                                                                         ,64.5768,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53762.9742939815,20028,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15849.057,0.0,0.0,0.0,0.0,0.0,15926.249,0.0,42.351,53762.0298611111,53762.0298611111
GRB050915a                                                                      ,00155242006,81.72786,-28.03058,53630.0132175926,           57035,15957.72,14710.778,14902.0,53641,60.12684,3219.41906,16119.95132,19339.37038,112 ,0.0,52704.0,17984.0,17558.4,14902.0,8,-29.83477,0,Y,231.28495,67,6,6,00155242006,155242,Swift                       ,1,3.16.07                                                                         ,96.60417,0.00373,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53632.9721759259,155242,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14710.778,0.0,0.0,0.0,0.0,0.0,15845.523,0.0,112.197,53630.0132175926,53630.0132175926
