gbm_TRIGGER_TIME,gbm_RA,gbm_DEC,gbm_T90,gbm_FLUX_BATSE_64,gbm_FLUENCE_BATSE,gbm_PFLX_COMP_EPEAK,gbm_mjd_utc,swift_NAME,swift_OBSID,swift_RA,swift_DEC,swift_START_TIME,swift_PROCESSING_DATE,swift_XRT_EXPOSURE,swift_UVOT_EXPOSURE,swift_BAT_EXPOSURE,swift_ARCHIVE_DATE,swift_AF_INSAA,swift_AF_INSLEW,swift_AF_ONSOURCE,swift_AF_TOTAL,swift_ATT_FLAG,swift_BAT_EXPO_EV,swift_BAT_EXPO_MT,swift_BAT_EXPO_PL,swift_BAT_EXPO_RT,swift_BAT_EXPO_SV,swift_BAT_NO_MASKTAG,swift_BII,swift_CYCLE,swift_GRB_FLAG,swift_LII,swift_NUM_PROCESSED,swift_OBS_SEGMENT,swift_ORIG_OBS_SEGMENT,swift_ORIG_OBSID,swift_ORIG_TARGET_ID,swift_PI,swift_PRNB,swift_PROCESSING_VERSION,swift_ROLL_ANGLE,swift_SAA_FRACTION,swift_SOFTWARE_VERSION,swift_STOP_TIME,swift_TARGET_ID,swift_TDRSS_FLAG,swift_UVOT_EXPO_BB,swift_UVOT_EXPO_BL,swift_UVOT_EXPO_GU,swift_UVOT_EXPO_GV,swift_UVOT_EXPO_M2,swift_UVOT_EXPO_MG,swift_UVOT_EXPO_UU,swift_UVOT_EXPO_VV,swift_UVOT_EXPO_W1,swift_UVOT_EXPO_W2,swift_UVOT_EXPO_WH,swift_XRT_EXPO_IM,swift_XRT_EXPO_LR,swift_XRT_EXPO_PC,swift_XRT_EXPO_PU,swift_XRT_EXPO_WT,swift_TRIG_TIME_MJD,swift_mjd_utc,time_diff_sec
54826.509151684,25.5,-47.4,0.192,5.1292,1.9304e-07,309.554,54826.50876973955,GRB081222                                                                       ,00337914005,22.71913,-34.10443,54826.4944560185,           57352,5224.783,5150.72,5311.0,54837,0.0,215.80018,5244.99724,5460.79742,112 ,0.0,16416.0,0.0,5478.4,5311.0,3,-79.02564,0,Y,254.79071,7,5,5,00337914005,337914,Swift                       ,1,3.17.01                                                                         ,235.78901,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_0                    ,54827.0116435185,337914,N,1468.868,0.0,0.0,0.0,0.0,0.0,1468.835,1012.822,0.0,0.0,1200.195,0.0,0.0,5206.376,0.0,18.407,54826.4944560185,54826.4944560185,0.014313721047074068
58877.408844701,346.28,-44.97,0.112,5.6892,1.4829e-07,0.0,58877.40841646026,GRB200125a                                                                      ,00952164004,228.06762,-8.09895, 58877.569837963,           58887,3156.695,3153.881,0.0,58888,3536.9992,372.00042,3164.99878,3536.9992,112 ,0.0,10608.0,0.0,3542.4,0.0,4,40.97147,0,Y,352.04368,8,4,4,00952164004,952164,Swift                       ,1,3.18.10                                                                         ,99.68461,1.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_16                   ,58877.9725925926,952164,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3153.881,0.0,0.0,0.0,3156.695,0.0,0.0,58877.569837963,58877.569837963,0.16142150273662992
58150.705539343,251.32,-43.47,0.192,4.8827,1.3142e-07,391.7053,58150.70511110226,GRB180204a                                                                      ,00808483000,330.08878,30.89026,58153.0975925926,           58163,12600.195,12322.556,16774.009,58164,719.74518,868.79965,12980.02575,13848.8254,112 ,1202.009,28920.0,0.0,15304.0,15572.0,2,-19.05939,0,Y,84.86799,13,0,0,00808483000,808483,Swift                       ,1,3.17.16                                                                         ,196.03009,0.02963,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_14                   ,58153.4783680556,808483,Y,1869.142,0.0,49.781,0.0,2012.503,0.0,2761.076,1133.974,2847.453,419.339,1229.288,5.078,0.0,12538.513,0.0,56.604,58153.0975925926,58153.0975925926,2.3924814903439255
55868.947982877,201.58,-43.16,0.32,4.3165,1.6862e-07,2547.424,55868.94758935848,GRB110915b                                                                      ,00020185005,77.56167,1.92427,      55869.0125,           57924,4505.501,4436.845,4299.0,55880,2152.34802,1139.80705,4534.93849,5674.74554,112 ,0.0,6488.0,0.0,5440.0,4299.0,2,-21.39447,0,Y,198.9715,18,5,5,00020185005,20185,Swift                       ,1,3.17.13                                                                         ,126.8827,0.3517,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_10                   ,55870.8586805556,20185,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4436.845,0.0,0.0,4505.163,0.0,0.338,55869.0125,55869.0125,0.0649106415148708
55671.945969141,320.045,-41.277,0.128,6.7237,1.0623e-07,339.0917,55671.945575622485,GRB110420b                                                                      ,00451794000,320.03909,-41.2564,55671.9349421296,           57644,22436.334,22718.012,26493.659,55682,4002.28916,1731.19971,23919.99323,25651.19294,112 ,1408.659,76000.0,27714.0,27780.8,25085.0,3,-44.83071,0,Y,0.55825,17,0,0,00451794000,451794,Swift                       ,1,3.17.06                                                                         ,66.84217,0.14125,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_2                    ,55672.6071759259,451794,Y,1688.335,0.0,0.0,0.0,4477.072,0.0,4156.311,3150.242,5598.403,3098.85,548.799,5.078,0.0,22347.446,0.0,83.81,55671.9349421296,55671.9349421296,0.010633492885972373
56745.271779788,92.35,-41.08,0.064,4.4413,1.0727e-07,762.4386,56745.27137469541,GRB140331a                                                                      ,00594081000,134.81618,2.70962,56747.2319097222,           58151,4413.273,4186.199,9428.054,56758,0.0,171.19906,4424.9987,4596.19776,112 ,1202.054,9640.0,0.0,5835.2,8226.0,2,29.47744,0,Y,226.146,9,0,0,00594081000,594081,Swift                       ,1,3.17.16                                                                         ,276.95739,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_14                   ,56747.3369560185,594081,Y,577.43,0.0,0.0,0.0,577.43,0.0,577.441,588.154,572.211,367.815,925.718,2.589,0.0,4292.511,0.0,118.173,56747.2319097222,56747.2319097222,1.9605350267884205
56827.490295512,304.96,-39.18,0.448,5.9517,1.2755e-07,311.1816,56827.489890419405,GRB140619a                                                                      ,00602080000,27.08607,-39.26285,56827.4741435185,           58169,2682.551,2681.65,7200.432,56838,4203.85382,353.4002,6744.99818,7098.39838,112 ,1326.432,7104.0,0.0,8076.8,5874.0,1,-73.04293,0,Y,262.20863,8,0,0,00602080000,602080,Swift                       ,1,3.17.16                                                                         ,53.62286,0.62325,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_14                   ,56827.6405902778,602080,Y,439.849,0.0,0.0,0.0,219.544,0.0,978.322,229.264,219.555,199.784,395.332,2.589,0.0,2567.451,0.0,112.511,56827.4741435185,56827.4741435185,0.01574690090637887
55372.77255176,15.7949,-39.0883,0.24,10.5278,2.4322e-07,402.3665,55372.77215824148,GRB 100625A                                                                     ,00425647000,15.77836,-39.09173,55372.7615046296,           57585,5832.294,5710.097,8098.27,55383,54.9268,246.7899,5889.99814,6136.78804,112 ,962.27,13512.0,7440.0,7513.6,7136.0,2,-77.79129,0,Y,292.16053,9,0,0,00425647000,425647,Swift                       ,1,3.17.04                                                                         ,64.90027,0.00933,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_1                    ,55372.9167939815,425647,Y,1135.805,0.0,49.781,0.0,419.295,0.0,623.514,431.056,419.328,1162.936,1468.382,5.078,0.0,5816.942,0.0,10.274,55372.7615046296,55372.7615046296,0.01065361188375391
56848.536869392,2.8,-38.88,0.384,4.6269,2.1039e-07,530.1995,56848.53646429941,GRB140710a                                                                      ,00603954000,41.04393,35.51517,56848.4172685185,           58176,6952.526,6971.228,13393.098,56859,840.0,605.80022,7914.99754,8520.79776,112 ,1727.098,27688.0,0.0,9988.8,11666.0,5,-21.93991,0,Y,147.41725,11,0,0,00603954000,603954,Swift                       ,1,3.17.16                                                                         ,82.60751,0.10613,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_14                   ,56848.6749768518,603954,Y,819.084,0.0,49.781,0.0,1264.88,0.0,1398.003,1116.962,1733.658,219.555,369.305,5.078,0.0,6930.11,0.0,17.338,56848.4172685185,56848.4172685185,0.11919578091328731
56090.687321265,39.67,-37.91,0.256,5.8264,2.5048e-07,1202.877,56090.68692774649,GRB120612a                                                                      ,00524128001,126.72122,-17.52894,56090.6085532407,           57946,3455.935,3425.434,3501.0,56101,933.27188,1374.39911,3474.99561,4849.39472,112 ,0.0,12416.0,0.0,4875.2,3501.0,3,11.88647,0,Y,239.91165,12,1,1,00524128001,524128,Swift                       ,1,3.17.13                                                                         ,316.40354,0.15945,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_10                   ,56091.0632060185,524128,Y,0.0,0.0,0.0,0.0,3425.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3455.816,0.0,0.119,56090.6085532407,56090.6085532407,0.07837450578517746
